ms,temp_c,red,ir
199357,27.61,107765,133856
199377,27.61,107730,133902
199397,27.61,107769,133840
199417,27.61,107702,133877
199437,27.61,107753,133838
199457,27.61,107734,133898
199477,27.61,107754,133849
199497,27.61,107760,133902
199517,27.61,107752,133854
199537,27.61,107760,133889
199557,27.61,107737,133820
199577,27.61,107783,133894
199597,27.61,107738,133835
199617,27.61,107760,133878
199637,27.61,107737,133835
199657,27.61,107755,133884
199677,27.61,107730,133839
199697,27.61,107734,133874
199717,27.61,107751,133859
199737,27.61,107733,133884
199757,27.61,107764,133874
199777,27.61,107739,133880
199797,27.61,107755,133856
199817,27.61,107730,133864
199837,27.61,107729,133841
199857,27.61,107701,133849
199877,27.61,107720,133834
199897,27.61,107713,133869
199917,27.61,107724,133821
199937,27.61,107711,133859
199957,27.61,107702,133803
199977,27.61,107718,133868
199997,27.61,107710,133811
200017,27.61,107719,133866
200037,27.61,107720,133817
200057,27.61,107711,133866
200077,27.61,107725,133826
200097,27.61,107692,133850
200117,27.61,107751,133818
200137,27.61,107691,133855
200157,27.61,107784,133891
200177,27.61,107719,133914
200197,27.61,107767,133880
200217,27.61,107730,133946
200237,27.61,107766,133924
200257,27.61,107703,133882
200277,27.61,107756,133944
200297,27.61,107692,133843
200317,27.61,107768,133911
200337,27.61,107673,133827
200357,27.61,107746,133885
200377,27.61,107668,133814
200397,27.61,107786,133880
200417,27.61,107637,133761
200437,27.61,107756,133882
200457,27.61,107633,133783
200477,27.61,107761,133915
200497,27.61,107633,133775
200517,27.61,107777,133942
200537,27.61,107623,133770
200557,27.61,107756,133934
200577,27.61,107625,133787
200597,27.61,107745,133912
200617,27.61,107597,133764
200637,27.61,107730,133902
200657,27.61,107603,133760
200677,27.61,107702,133877
200697,27.61,107594,133761
200717,27.61,107734,133898
200737,27.61,107595,133765
200757,27.61,107760,133902
200777,27.61,107606,133785
200797,27.61,107760,133889
200817,27.61,107623,133798
200837,27.61,107783,133894
200857,27.61,107646,133836
200877,27.61,107760,133878
